name,Predicted antigenic profile,,,
SRR6325217,a,,,
SRR6325220,a,,,
SRR6325331,a,,,
SRR6330673,a,,,
SRR6330678,a,,,
SRR6330680,a,,,
SRR6330681,a,,,
SRR6330682,a,,,
SRR6330683,a,,,
SRR6353955,a,,,
SRR6353964,a,,,
SRR6359128,a,,,
SRR6359133,a,,,
SRR6359135,a,,,
SRR6359144,a,,,
SRR6359152,a,,,
SRR6359153,a,,,
SRR6373410,a,,,
SRR6373458,a,,,
SRR6373585,a,,,
SRR6380933,a,,,
SRR6380934,a,,,
SRR6386298,a,,,
SRR6413643,a,,,
SRR6440230,a,,,
SRR6440520,a,,,
SRR6440561,a,,,
SRR6457906,a,,,
SRR6457918,a,,,
SRR6481183,a,,,
SRR6489981,a,,,
SRR6491254,a,,,
SRR6515208,a,,,
SRR6515212,a,,,
SRR6604491,a,,,
SRR6650919,a,,,
SRR6663628,a,,,
SRR6670266,a,,,
SRR6670279,a,,,
SRR6670287,a,,,
SRR6670295,a,,,
SRR6676504,a,,,
SRR6682038,a,,,
SRR6750513,a,,,
SRR6786489,a,,,
SRR6786494,a,,,
SRR6786495,a,,,
SRR6786505,a,,,
SRR6872082,a,,,
SRR6872085,a,,,
SRR6872089,a,,,
SRR6879303,a,,,
SRR6879566,a,,,
SRR6881311,a,,,
SRR6903121,a,,,
SRR6926872,a,,,
SRR6940838,a,,,
SRR6945236,a,,,
SRR7015196,a,,,
SRR7073595,a,,,
SRR7093180,a,,,
SRR7093294,a,,,
SRR7140266,a,,,
SRR7140363,a,,,
SRR7153388,a,,,
SRR7170560,a,,,
SRR7182405,a,,,
SRR7218877,a,,,
SRR7269467,a,,,
SRR7300269,a,,,
SRR7429470,a,,,
SRR7456622,a,,,
SRR7518636,a,,,
SRR8781001,a,,,
SRR8882088,a,,,
SRR8899204,a,,,
SRR8926753,a,,,
SRR9029126,a,,,
SRR9040362,a,,,
SRR9106301,a,,,
SRR9283172,a,,,
SRR9283178,a,,,
